"player","num_last_first","player_team_num","position","position_type","game_id","game_date","season","session","team","opponent","is_home","game_period","shf","avg","toi_all","toi_ev","toi_pp","toi_sh"
"ALEX.KERFOOT","15 KERFOOT, ALEXANDER","TOR15","C","F",2019020001,"2019-10-02",20192020,"R","TOR","TOR",1,1,8,0.8,6.5,3.5,3,0
"ALEX.KERFOOT","15 KERFOOT, ALEXANDER","TOR15","C","F",2019020001,"2019-10-02",20192020,"R","TOR","TOR",1,2,9,0.45,4.18,4.18,0,0
"ALEX.KERFOOT","15 KERFOOT, ALEXANDER","TOR15","C","F",2019020001,"2019-10-02",20192020,"R","TOR","TOR",1,3,6,0.7,4.28,3.37,0.92,0
"ANDREAS.JOHNSSON","18 JOHNSSON, ANDREAS","TOR18","L","F",2019020001,"2019-10-02",20192020,"R","TOR","TOR",1,1,8,0.83,6.72,3.72,3,0
"ANDREAS.JOHNSSON","18 JOHNSSON, ANDREAS","TOR18","L","F",2019020001,"2019-10-02",20192020,"R","TOR","TOR",1,2,7,0.63,4.5,4.33,0.17,0
"ANDREAS.JOHNSSON","18 JOHNSSON, ANDREAS","TOR18","L","F",2019020001,"2019-10-02",20192020,"R","TOR","TOR",1,3,7,0.87,6.15,5.07,1.08,0
"AUSTON.MATTHEWS","34 MATTHEWS, AUSTON","TOR34","C","F",2019020001,"2019-10-02",20192020,"R","TOR","TOR",1,1,9,0.77,6.98,3.98,3,0
"AUSTON.MATTHEWS","34 MATTHEWS, AUSTON","TOR34","C","F",2019020001,"2019-10-02",20192020,"R","TOR","TOR",1,2,7,0.73,5.2,5.03,0.17,0
"AUSTON.MATTHEWS","34 MATTHEWS, AUSTON","TOR34","C","F",2019020001,"2019-10-02",20192020,"R","TOR","TOR",1,3,7,0.88,6.25,5.17,1.08,0
"CODY.CECI","83 CECI, CODY","TOR83","D","D",2019020001,"2019-10-02",20192020,"R","TOR","TOR",1,1,8,0.73,5.92,5.92,0,0
"CODY.CECI","83 CECI, CODY","TOR83","D","D",2019020001,"2019-10-02",20192020,"R","TOR","TOR",1,2,10,0.85,8.63,6.77,0,1.87
"CODY.CECI","83 CECI, CODY","TOR83","D","D",2019020001,"2019-10-02",20192020,"R","TOR","TOR",1,3,9,0.82,7.47,6.3,0,1.17
"DMYTRO.TIMASHOV","41 TIMASHOV, DMYTRO","TOR41","L","F",2019020001,"2019-10-02",20192020,"R","TOR","TOR",1,1,5,0.63,3.17,3.17,0,0
"DMYTRO.TIMASHOV","41 TIMASHOV, DMYTRO","TOR41","L","F",2019020001,"2019-10-02",20192020,"R","TOR","TOR",1,2,5,0.67,3.35,2.68,0,0.67
"DMYTRO.TIMASHOV","41 TIMASHOV, DMYTRO","TOR41","L","F",2019020001,"2019-10-02",20192020,"R","TOR","TOR",1,3,5,0.45,2.32,2.32,0,0
"FREDERIK.ANDERSEN","31 ANDERSEN, FREDERIK","TOR31","G","G",2019020001,"2019-10-02",20192020,"R","TOR","TOR",1,1,2,9.95,19.92,13.92,6,0
"FREDERIK.ANDERSEN","31 ANDERSEN, FREDERIK","TOR31","G","G",2019020001,"2019-10-02",20192020,"R","TOR","TOR",1,2,1,20,20,15.83,0.17,4
"FREDERIK.ANDERSEN","31 ANDERSEN, FREDERIK","TOR31","G","G",2019020001,"2019-10-02",20192020,"R","TOR","TOR",1,3,2,9.97,19.93,15.93,2,2
"FREDERIK.GAUTHIER","33 GAUTHIER, FREDERIK","TOR33","C","F",2019020001,"2019-10-02",20192020,"R","TOR","TOR",1,1,4,0.7,2.8,2.8,0,0
